time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20141231:2346,0.0,0.0,0.0,0.0,0.0,22.68,1.38,0.0
20150101:0046,0.0,0.0,0.0,0.0,0.0,22.59,1.66,0.0
20150101:0146,18.15,0.0,36.37,0.13,8.97,23.21,1.66,0.0
20150101:0246,199.5,83.17,180.83,0.81,21.79,24.41,1.59,0.0
20150101:0346,218.93,32.95,256.0,0.97,33.73,25.3,1.24,0.0
20150101:0446,616.9,647.07,185.65,2.43,44.08,25.98,0.69,0.0
20150101:0546,331.59,54.49,383.85,1.47,51.51,26.72,0.76,0.0
20150101:0646,201.63,1.15,269.37,0.93,54.14,27.48,1.52,0.0
20150101:0746,44.43,0.0,72.74,0.25,51.0,27.83,1.93,0.0
20150101:0846,571.85,515.04,240.9,2.25,43.22,28.0,2.14,0.0
20150101:0946,266.77,82.07,268.57,1.13,32.68,27.83,2.28,0.0
20150101:1046,290.7,262.7,122.42,1.05,20.64,27.3,2.48,0.0
20150101:1146,33.45,10.44,49.38,0.19,7.75,26.5,2.34,0.0
20150101:1246,0.0,0.0,0.0,0.0,0.0,25.63,2.34,0.0
20150101:1346,0.0,0.0,0.0,0.0,0.0,25.16,2.34,0.0
20150101:1446,0.0,0.0,0.0,0.0,0.0,24.93,2.34,0.0
20150101:1546,0.0,0.0,0.0,0.0,0.0,24.8,2.48,0.0
20150101:1646,0.0,0.0,0.0,0.0,0.0,24.7,2.48,0.0
20150101:1746,0.0,0.0,0.0,0.0,0.0,24.54,2.48,0.0
20150101:1846,0.0,0.0,0.0,0.0,0.0,24.6,2.69,0.0
20150101:1946,0.0,0.0,0.0,0.0,0.0,24.54,2.41,0.0
20150101:2046,0.0,0.0,0.0,0.0,0.0,24.44,2.34,0.0
20150101:2146,0.0,0.0,0.0,0.0,0.0,24.33,2.41,0.0
20150101:2246,0.0,0.0,0.0,0.0,0.0,23.62,2.34,0.0
20150101:2346,0.0,0.0,0.0,0.0,0.0,23.63,2.34,0.0
20150102:0046,0.0,0.0,0.0,0.0,0.0,23.57,2.28,0.0
20150102:0146,99.06,83.34,68.17,0.36,8.89,24.11,2.07,0.0
20150102:0246,340.78,331.31,112.23,1.18,21.73,25.13,2.34,0.0
20150102:0346,496.72,467.16,175.55,1.83,33.7,25.9,2.28,0.0
20150102:0446,620.15,610.28,205.42,2.39,44.08,26.73,2.41,0.0
20150102:0546,652.11,579.4,284.72,2.59,51.55,27.4,2.69,0.0
20150102:0646,705.67,696.86,245.16,2.81,54.23,27.9,2.9,0.0
20150102:0746,682.0,672.1,231.44,2.69,51.12,27.7,3.03,0.0
20150102:0846,592.47,548.58,224.72,2.29,43.36,27.72,3.24,0.0
20150102:0946,488.61,477.4,153.28,1.81,32.82,27.48,3.38,0.0
20150102:1046,286.3,245.29,131.28,1.04,20.77,26.99,3.59,0.0
20150102:1146,72.39,60.4,58.4,0.29,7.88,26.36,3.03,0.0
20150102:1246,0.0,0.0,0.0,0.0,0.0,25.7,2.83,0.0
20150102:1346,0.0,0.0,0.0,0.0,0.0,25.44,2.76,0.0
20150102:1446,0.0,0.0,0.0,0.0,0.0,25.2,2.76,0.0
20150102:1546,0.0,0.0,0.0,0.0,0.0,25.09,2.69,0.0
20150102:1646,0.0,0.0,0.0,0.0,0.0,25.06,2.69,0.0
20150102:1746,0.0,0.0,0.0,0.0,0.0,24.96,2.62,0.0
20150102:1846,0.0,0.0,0.0,0.0,0.0,24.76,2.69,0.0
20150102:1946,0.0,0.0,0.0,0.0,0.0,24.68,2.41,0.0
20150102:2046,0.0,0.0,0.0,0.0,0.0,24.37,2.28,0.0
20150102:2146,0.0,0.0,0.0,0.0,0.0,24.16,2.28,0.0
20150102:2246,0.0,0.0,0.0,0.0,0.0,24.17,2.0,0.0
20150102:2346,0.0,0.0,0.0,0.0,0.0,24.13,1.86,0.0
20150103:0046,0.0,0.0,0.0,0.0,0.0,24.0,1.86,0.0
20150103:0146,88.32,67.83,68.61,0.34,8.83,24.37,1.86,0.0
20150103:0246,309.76,263.92,140.36,1.1,21.68,25.02,1.93,0.0
20150103:0346,351.1,176.78,277.79,1.4,33.67,25.57,1.72,0.0
20150103:0446,582.94,520.49,250.05,2.28,44.08,26.14,1.59,0.0
20150103:0546,653.0,604.59,272.69,2.62,51.59,26.91,1.66,0.0
20150103:0646,719.51,754.04,213.99,2.88,54.33,27.43,2.34,0.0
20150103:0746,686.98,700.53,216.91,2.73,51.24,27.61,2.48,0.0
20150103:0846,498.74,330.75,320.05,1.99,43.49,27.45,2.55,0.0
20150103:0946,468.1,427.48,179.95,1.76,32.95,27.14,2.48,0.0
20150103:1046,295.79,266.79,123.41,1.07,20.9,26.74,2.55,0.0
20150103:1146,74.43,63.34,58.56,0.3,8.0,26.5,2.28,0.0
20150103:1246,0.0,0.0,0.0,0.0,0.0,25.84,1.86,0.0
20150103:1346,0.0,0.0,0.0,0.0,0.0,25.51,1.45,0.0
20150103:1446,0.0,0.0,0.0,0.0,0.0,24.98,1.1,0.0
20150103:1546,0.0,0.0,0.0,0.0,0.0,24.42,1.1,0.0
20150103:1646,0.0,0.0,0.0,0.0,0.0,24.74,0.76,0.0
20150103:1746,0.0,0.0,0.0,0.0,0.0,24.49,0.76,0.0
20150103:1846,0.0,0.0,0.0,0.0,0.0,23.4,1.52,0.0
20150103:1946,0.0,0.0,0.0,0.0,0.0,23.47,1.59,0.0
20150103:2046,0.0,0.0,0.0,0.0,0.0,23.47,1.72,0.0
20150103:2146,0.0,0.0,0.0,0.0,0.0,23.38,1.72,0.0
20150103:2246,0.0,0.0,0.0,0.0,0.0,23.45,1.79,0.0
20150103:2346,0.0,0.0,0.0,0.0,0.0,23.4,1.59,0.0
20150104:0046,0.0,0.0,0.0,0.0,0.0,23.36,1.17,0.0
20150104:0146,85.38,64.44,68.26,0.33,8.76,24.26,0.69,0.0
20150104:0246,273.81,201.82,160.33,1.02,21.63,25.52,0.69,0.0
20150104:0346,494.19,492.31,160.88,1.86,33.64,26.2,0.76,0.0
20150104:0446,568.72,499.04,259.88,2.25,44.09,26.72,1.1,0.0
20150104:0546,624.93,532.49,307.27,2.53,51.65,27.22,1.52,0.0
20150104:0646,605.87,444.11,364.07,2.48,54.43,27.73,2.07,0.0
20150104:0746,709.35,785.4,168.42,2.82,51.38,27.95,2.34,0.0
20150104:0846,643.52,718.17,132.35,2.49,43.64,27.72,2.55,0.0
20150104:0946,498.76,508.75,138.41,1.85,33.09,27.53,2.83,0.0
20150104:1046,308.82,294.64,112.27,1.11,21.03,27.26,3.1,0.0
20150104:1146,76.61,66.23,58.7,0.31,8.13,26.58,2.83,0.0
